u,eigval_0_real,eigval_1_real,eigval_2_real,eigval_3_real,eigval_4_real,eigval_5_real,eigval_6_real,eigval_7_real,eigval_0_imag,eigval_1_imag,eigval_2_imag,eigval_3_imag,eigval_4_imag,eigval_5_imag,eigval_6_imag,eigval_7_imag
-0.5,4.250524658248741e-17,0.0,0.0,-2.1654559186175822e-17,-0.04243626931361562,-0.06616321009028062,-0.09885538425547483,-0.09885538425547587,1.2546317391570008e-16,0.0,0.0,2.966947450072565e-16,1.5727663811960005e-16,1.8993937210268629e-16,0.8843539554704185,-0.8843539554704163
0.0,3.329869824945578e-17,0.0,0.0,-1.5885959383544594e-17,-0.049056293332311436,-0.07680609376312253,-0.10627166057429105,-0.10627166057429172,2.770974274051162e-16,0.0,0.0,-3.406789482540933e-16,3.052909140440876e-16,1.6579419081111537e-16,-0.3171926571854811,0.3171926571854828
0.5,1.972421978622512e-16,3.911933926560142e-17,0.0,0.0,-0.06840397823561276,-0.10878827634816891,-0.11300723612054309,-0.11300723612054403,-1.6606706165129368e-16,-6.674920225640372e-17,0.0,0.0,1.9659437488659556e-16,-4.8013933988659005e-17,0.3178738406194184,-0.31787384061941854
1.0,5.502802070695574e-16,0.0,0.0,-1.969467533019422e-16,-0.12488998374685428,-0.13347540217166504,-0.13347540217166518,-0.15778120278200786,7.461123712720849e-17,0.0,0.0,1.3044263251019768e-16,-4.3247212110020943e-16,-0.3230256325907762,0.32302563259077705,-0.7477824066375105
1.5,7.697133483168705e-16,0.0,0.0,-7.355985691569305e-17,-0.1798769695205672,-0.179876969520568,-0.2,-0.2,9.481513710213997e-16,0.0,0.0,1.075798078005844e-15,-0.3601877194950261,0.360187719495026,-2.0,2.0
2.0,0.0,0.0,-3.7860750621631693e-16,-3.0330706163703446e-15,-0.17971187270615052,-0.17971187270615074,-0.19282859097184468,-0.19282859097184504,0.0,0.0,3.930333904389908e-16,1.8217772319704815e-16,-0.45853709425630707,0.4585370942563084,-0.5290907073229074,0.5290907073229046
