p,anisotropy,yield_0,yield_90
0.000000000000000000e+00,1.396227661116578034e-03,3.848621394194496892e-01,3.862583670805662672e-01
2.500000000000000000e-01,1.959868598706560050e-04,5.057354426241014167e-01,5.059314294839720727e-01
5.000000000000000000e-01,1.004253941373822734e-03,6.266087458287529222e-01,6.256044918873790994e-01
7.500000000000000000e-01,2.204494742621632142e-03,7.474820490334052048e-01,7.452775542907835726e-01
1.000000000000000000e+00,3.404735543865000658e-03,8.683553522380557110e-01,8.649506166941907104e-01
