u,gap,anisotropy
-5.000000000000000000e-01,3.431072750933114590e-04,1.101907875972016337e-03
-1.875000000000000000e-01,8.377457235532320690e-04,2.047613634163059082e-03
1.250000000000000000e-01,0.000000000000000000e+00,3.440892035293630080e-03
4.375000000000000000e-01,0.000000000000000000e+00,4.774881475859582558e-03
7.500000000000000000e-01,0.000000000000000000e+00,4.756940267536591271e-03
1.062500000000000000e+00,0.000000000000000000e+00,2.981889190281417079e-03
1.375000000000000000e+00,0.000000000000000000e+00,1.191860173837766546e-03
1.687500000000000000e+00,0.000000000000000000e+00,3.523926407078548095e-04
2.000000000000000000e+00,0.000000000000000000e+00,9.413822454096276715e-05
