dephase,integrity,collapse,continuity,amplitude
1.000000000000000021e-02,9.882763363752942176e-01,9.765526727505884352e-01,1.000000000000000000e+00,2.534846545909519300e-03
1.000000000000000056e-01,9.880595612044085208e-01,9.765656766019829016e-01,9.995534458068342509e-01,2.109214723374208678e-02
5.000000000000000000e-01,9.809248456737995614e-01,9.768095258091928912e-01,9.850401655384063426e-01,5.688780714391317161e-02
