p_singlet,u_star,width,amplitude
1.0,2.25,2.0,0.5218400948551976
0.8,2.25,2.0,0.4174720758841577
0.5,2.25,2.0,0.2609200474275939
0.2,2.25,2.0,0.10436801897104186
